,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Categories Defined for the Module 2,,,,,,,,,,,,
,,,,,,,,,,,,
Tech,Arts,Lifestyle,Business,Health,Science,Sports,Food,Home,Local,Politics,Travel,World
Crypto,Arts and Design,Aviation,Business,Health,Climate Change,F1,Recipies & Cooking,Achitecture,City Wise,Education,Deals & Tips,Austrailia
Electric Vehicle,Books,Cars,Personal Finance,COVID,Nature,MLB,Restaurents,Home Products,NYC,International Politics,Travel,India
Software Engineering,Celeberities,Woman’s Style,Stock and Investing,Mental Awareness,Space,NBA,"Wine, Beer  & Cocktails",Interior Design,San Francisco,U.S. Politics,,canada
Startups,TV & Movies,,,Parenting,Science,NCAA Basketball,,Luxury House,,Local Country Politics,,Turkey
Apps & Software,Gaming,,,Relationship,,NCAA Football,,,,,,U.K
Gadgets,,,,Exercise,,NFL,,,,,,Russia
Tech Companies,,,,,,NHL,,,,,,International Affairs
AI,,,,,,PGA Tour,,,,,,
,,,,,,Tennis,,,,,,
,,,,,,Soccer,,,,,,
,,,,,,Cricket,,,,,,
